 written on 10Apr2023 at 21:03:15 
           8
        1041
    2    2    2    2    1    2    1    1    2    1    1    1    2    1    1
    1    1    2    1    1    4    2    1    2    1    1    2    1    1    1
    2    1    1    1    1    2    1    1    1    1    2    2    1    1    1
    1    1    2    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    2    1    1    1    1    1    1    1    1    4    1    1    1
    1    2    1    2    2    1    1    1    1    2    1    1    1    1    1
    2    1    1    1    1    1    1    2    1    1    1    1    1    1    1
    2    1    1    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1
    1    1    1    2    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    1    1    1    2    1    1    1    1    2    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1
    2    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    2    1    1    1    1    2
    1    1    1    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    2    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    2    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    2    1    1    1    1
    1    1    2    1    1    1    1    1    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1
    1    1    1    1    1    2    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    2    1    1    1    1    1    2    1    1    1
    1    2    2    1    2    1    1    1    1    4    1    1    1    1    1
    1    1    1    2    1    1    1    1    1    1    1    2    1    1    1
    1    1    1    2    1    1    1    1    1    2    2    1    1    1    1
    2    1    1    1    1    2    1    1    1    2    1    1    2    1    2
    4    1    1    2    1    1    1    1    2    1    1    1    2    1    1
    2    1    2    2    2    2
   -7    2    2    1    1   -0.000000   -0.000000
   -7    2    2    2    1   -0.000000    0.000000
   -7    2    2    3    1    0.000000   -0.000000
   -7    2    2    4    1    0.000001    0.000000
   -7    2    2    5    1   -0.000000   -0.000000
   -7    2    2    6    1   -0.000011   -0.000000
   -7    2    2    7    1   -0.000009    0.000000
   -7    2    2    8    1   -0.000002    0.000000
   -7    2    2    1    2   -0.000000    0.000000
   -7    2    2    2    2    0.000003   -0.000000
   -7    2    2    3    2   -0.000000   -0.000000
   -7    2    2    4    2   -0.000000    0.000000
   -7    2    2    5    2   -0.000002   -0.000000
   -7    2    2    6    2    0.000013    0.000000
   -7    2    2    7    2    0.000017    0.000000
   -7    2    2    8    2   -0.000006   -0.000000
   -7    2    2    1    3    0.000000    0.000000
   -7    2    2    2    3    0.000000    0.000000
   -7    2    2    3    3    0.000002    0.000000
   -7    2    2    4    3   -0.000001   -0.000000
   -7    2    2    5    3   -0.000000    0.000000
   -7    2    2    6    3    0.000011   -0.000000
   -7    2    2    7    3    0.000012   -0.000000
   -7    2    2    8    3    0.000020   -0.000000
   -7    2    2    1    4    0.000001    0.000000
   -7    2    2    2    4    0.000000   -0.000000
   -7    2    2    3    4   -0.000001    0.000000
   -7    2    2    4    4    0.000000    0.000000
   -7    2    2    5    4    0.000000   -0.000000
   -7    2    2    6    4   -0.000005    0.000000
   -7    2    2    7    4    0.000007    0.000000
   -7    2    2    8    4    0.000001    0.000000
   -7    2    2    1    5    0.000000    0.000000
   -7    2    2    2    5   -0.000002   -0.000000
   -7    2    2    3    5    0.000000    0.000000
   -7    2    2    4    5   -0.000000    0.000000
   -7    2    2    5    5    0.000001   -0.000000
   -7    2    2    6    5   -0.000006   -0.000000
   -7    2    2    7    5    0.000023   -0.000000
   -7    2    2    8    5    0.000009   -0.000000
   -7    2    2    1    6    0.000006    0.000000
   -7    2    2    2    6    0.000007    0.000000
   -7    2    2    3    6    0.000001   -0.000000
   -7    2    2    4    6   -0.000001   -0.000000
   -7    2    2    5    6   -0.000002   -0.000000
   -7    2    2    6    6    0.000009    0.000000
   -7    2    2    7    6   -0.000000   -0.000000
   -7    2    2    8    6    0.000002    0.000000
   -7    2    2    1    7   -0.000001   -0.000000
   -7    2    2    2    7   -0.000005   -0.000000
   -7    2    2    3    7   -0.000006    0.000000
   -7    2    2    4    7    0.000007   -0.000000
   -7    2    2    5    7   -0.000008   -0.000000
   -7    2    2    6    7    0.000000    0.000000
   -7    2    2    7    7    0.000031   -0.000000
   -7    2    2    8    7    0.000000   -0.000000
   -7    2    2    1    8    0.000001    0.000000
   -7    2    2    2    8   -0.000002    0.000000
   -7    2    2    3    8   -0.000003   -0.000000
   -7    2    2    4    8   -0.000007    0.000000
   -7    2    2    5    8    0.000006    0.000000
   -7    2    2    6    8    0.000002    0.000000
   -7    2    2    7    8    0.000000    0.000000
   -7    2    2    8    8    0.000010    0.000000
   -7    3    1    1    1   -0.000002    0.000000
   -7    3    1    2    1    0.000000   -0.000000
   -7    3    1    3    1    0.000000    0.000000
   -7    3    1    4    1    0.000000   -0.000000
   -7    3    1    5    1   -0.000000    0.000000
   -7    3    1    6    1   -0.000004    0.000000
   -7    3    1    7    1   -0.000022   -0.000000
   -7    3    1    8    1   -0.000013   -0.000000
   -7    3    1    1    2    0.000000   -0.000000
   -7    3    1    2    2    0.000001   -0.000000
   -7    3    1    3    2   -0.000000   -0.000000
   -7    3    1    4    2    0.000000   -0.000000
   -7    3    1    5    2   -0.000002   -0.000000
   -7    3    1    6    2    0.000013    0.000000
   -7    3    1    7    2    0.000030   -0.000000
   -7    3    1    8    2    0.000005   -0.000000
   -7    3    1    1    3    0.000000   -0.000000
   -7    3    1    2    3    0.000000    0.000000
   -7    3    1    3    3    0.000001   -0.000000
   -7    3    1    4    3   -0.000002   -0.000000
   -7    3    1    5    3    0.000000    0.000000
   -7    3    1    6    3    0.000008   -0.000000
   -7    3    1    7    3    0.000005    0.000000
   -7    3    1    8    3    0.000024    0.000000
   -7    3    1    1    4    0.000000    0.000000
   -7    3    1    2    4   -0.000000    0.000000
   -7    3    1    3    4   -0.000002    0.000000
   -7    3    1    4    4    0.000002   -0.000000
   -7    3    1    5    4    0.000000    0.000000
   -7    3    1    6    4   -0.000006   -0.000000
   -7    3    1    7    4   -0.000001   -0.000000
